id,name,level,parent,url
167,Buku Fotografi,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-fotografi
168,Buku Hewan Peliharaan,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-hewan-peliharaan
169,Buku Hiburan,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-hiburan
170,Buku Humor,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-humor
171,Buku Keterampilan,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-keterampilan
172,Buku Kuliner,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-kuliner
173,Buku Musik & Lagu,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-musik-lagu
174,Buku Olahraga,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-olahraga
175,Buku Otomotif,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-otomotif
176,Buku Permainan,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-permainan
177,Buku Seni,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-seni
178,Buku Tanaman,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-tanaman
179,Buku Travel,3,165.0,https://www.tokopedia.com/p/buku/hobi/buku-travel
180,Kamus & Bahasa Asing,2,89.0,
181,Bahasa Arab,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/bahasa-arab
182,Bahasa Indonesia,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/bahasa-indonesia
183,Bahasa Inggris,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/bahasa-inggris
184,Bahasa Jawa,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/bahasa-jawa
185,Bahasa Jepang,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/bahasa-jepang
186,Bahasa Jerman,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/bahasa-jerman
187,Bahasa Korea,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/bahasa-korea
188,Bahasa Mandarin,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/bahasa-mandarin
189,Bahasa Perancis,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/bahasa-perancis
190,Basa Sunda,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/basa-sunda
191,Kamus Bahasa Lainnya,3,180.0,https://www.tokopedia.com/p/buku/kamus-bahasa-asing/kamus-bahasa-lainnya
192,Kedokteran,2,89.0,
193,Buku Farmasi,3,192.0,https://www.tokopedia.com/p/buku/kedokteran/buku-farmasi
194,Buku Kedokteran Spesialis,3,192.0,https://www.tokopedia.com/p/buku/kedokteran/buku-kedokteran-spesialis
195,Buku Kedokteran Umum,3,192.0,https://www.tokopedia.com/p/buku/kedokteran/buku-kedokteran-umum
196,Buku Psikiatri,3,192.0,https://www.tokopedia.com/p/buku/kedokteran/buku-psikiatri
197,Kamus Istilah Kedokteran,3,192.0,https://www.tokopedia.com/p/buku/kedokteran/kamus-istilah-kedokteran
198,Keluarga,2,89.0,
199,Buku Bimbingan Orang Tua,3,198.0,https://www.tokopedia.com/p/buku/keluarga/buku-bimbingan-orang-tua
200,Buku Nama-nama Bayi,3,198.0,https://www.tokopedia.com/p/buku/keluarga/buku-nama-nama-bayi
